[~] 0249 | 2026-01-14 19:04:12 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 10620, ExitCode: -1)
[#] 0250 | 2026-01-14 19:04:12 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0251 | 2026-01-14 19:04:12 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[~] 0252 | 2026-01-14 19:04:14 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 16396, ExitCode: -1)
[#] 0253 | 2026-01-14 19:04:14 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[+] 0254 | 2026-01-14 19:04:14 | ВКЛЮЧЕНИЕ    | WMI_EVENT       | ✅ ProcessManager.exe запущен: C:\Users\Administrator\Desktop\Запускатр_лог\ProcessManager.exe
[#] 0255 | 2026-01-14 19:04:17 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 2
[*] 0256 | 2026-01-14 19:04:17 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 18932
[*] 0257 | 2026-01-14 19:04:17 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 18932
[-] 0258 | 2026-01-14 19:04:17 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 11828
[#] 0259 | 2026-01-14 19:04:17 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 1, оставлен новый: 18932
[~] 0260 | 2026-01-14 19:04:17 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 11828, ExitCode: -1)
[#] 0261 | 2026-01-14 19:04:17 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0262 | 2026-01-14 19:04:17 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[~] 0263 | 2026-01-14 19:04:29 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 17964, ExitCode: -1)
[#] 0264 | 2026-01-14 19:04:29 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0265 | 2026-01-14 19:04:29 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[#] 0266 | 2026-01-14 19:04:32 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 2
[*] 0267 | 2026-01-14 19:04:32 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 18932
[*] 0268 | 2026-01-14 19:04:32 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 18932
[-] 0269 | 2026-01-14 19:04:32 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 18356
[#] 0270 | 2026-01-14 19:04:32 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 1, оставлен новый: 18932
[~] 0271 | 2026-01-14 19:04:32 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 18356, ExitCode: -1)
[#] 0272 | 2026-01-14 19:04:32 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0273 | 2026-01-14 19:04:32 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[#] 0274 | 2026-01-14 19:04:35 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 4
[*] 0275 | 2026-01-14 19:04:35 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 18932
[*] 0276 | 2026-01-14 19:04:35 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 18932
[-] 0277 | 2026-01-14 19:04:35 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 1188
[-] 0278 | 2026-01-14 19:04:35 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 13956
[-] 0279 | 2026-01-14 19:04:35 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 3416
[#] 0280 | 2026-01-14 19:04:35 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 3, оставлен новый: 18932
[~] 0281 | 2026-01-14 19:04:36 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 1188, ExitCode: -1)
[#] 0282 | 2026-01-14 19:04:36 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0283 | 2026-01-14 19:04:36 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
